z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,7.003507409323472821e-01,-2.696570487004280783e-03,-2.696590725488683029e-03,1.599152567615646765e-04,-4.312227618049470857e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.306207771430480724e-01,-2.567131904688996300e-03,-2.567154183006838727e-03,1.421342783075129452e-04,-3.648774405931616089e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.621991222319222103e-01,-2.447801128205846864e-03,-2.447825153027354938e-03,1.254942486911568621e-04,-3.071849635295588897e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.951423229473382204e-01,-2.339070068963073051e-03,-2.339095425701705460e-03,1.100733606651604582e-04,-2.574693033220541041e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.295093700589535324e-01,-2.241066937728238700e-03,-2.241093067150727244e-03,9.592385817454789987e-05,-2.149717870943119529e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.653618039913759663e-01,-2.153596741706757019e-03,-2.153622916679249003e-03,8.307063012801954918e-05,-1.789006383752300688e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.027638250234443218e-01,-2.076192741447964365e-03,-2.076218046585249447e-03,7.151116860144428886e-05,-1.484709691827802072e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.417824082504592242e-01,-2.008173192784007757e-03,-2.008196511092441225e-03,6.121693743781551585e-05,-1.229342127069568412e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.824874235152266655e-01,-1.948699461685062277e-03,-1.948719473526277666e-03,5.213606537498810078e-05,-1.015975225306165312e-07
1.300000000000000044e-01,-1.000000000000000000e+00,1.024951760522670341e+00,-1.896834059841766111e-03,-1.896849260032798393e-03,4.419714643038827903e-05,-8.383465269697442089e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.069251459362054568e+00,-1.851599383313016741e-03,-1.851608120896991016e-03,3.731382019220514171e-05,-6.909024645693983548e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.115465846670542716e+00,-1.812039064316462627e-03,-1.812039605358803981e-03,3.138973551022316162e-05,-5.687942696308601607e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.163677677681911549e+00,-1.777283365362594507e-03,-1.777273971479550888e-03,2.632348614699801231e-05,-4.678429404741226390e-08
