z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,1.526737100240096179e-01,-4.005666516285486325e-03,-4.005638138228856046e-03,9.456017731945267572e-04,-3.787765360625498778e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.592724589946988845e-01,-4.127759344132575677e-03,-4.127730514789925559e-03,9.379408405084342908e-04,-3.871594068652251363e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.661564141608184442e-01,-4.249098589364961980e-03,-4.249069376110298571e-03,9.296814999026367741e-04,-3.950308349794996121e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.733379024913548339e-01,-4.369024005016339772e-03,-4.368994486100096983e-03,9.207843512109384907e-04,-4.022928933883986327e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.808297837423337162e-01,-4.486800467181682218e-03,-4.486770732529792201e-03,9.112087299943037689e-04,-4.088411755438469226e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.886454734845430248e-01,-4.601615752217833900e-03,-4.601585904177822942e-03,9.009129334201973873e-04,-4.145655145803156843e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.967989671265430451e-01,-4.712579528316043417e-03,-4.712549682317873113e-03,8.898545098853084898e-04,-4.193510146465210739e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.053048649759813549e-01,-4.818723914463654556e-03,-4.818694199556741026e-03,8.779906215265415384e-04,-4.230794404624753538e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.141783983840887806e-01,-4.919006005638819345e-03,-4.918976564860238695e-03,8.652784891832893946e-04,-4.256310084842685089e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.234354570201737278e-01,-5.012312804422297541e-03,-5.012283794944622471e-03,8.516759295553950936e-04,-4.268866166928769289e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.330926173249537325e-01,-5.097469031538789247e-03,-5.097440624539772286e-03,8.371419941486877561e-04,-4.267305390173562199e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.431671721936762010e-01,-5.173248305299203535e-03,-5.173220685490596653e-03,8.216377189962204789e-04,-4.250535937367101143e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.536771619421803736e-01,-5.238388175211165960e-03,-5.238361539960084863e-03,8.051269929496798110e-04,-4.217567719410926570e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.646414066113516039e-01,-5.291609459425825578e-03,-5.291584017401399116e-03,7.875775503935446764e-04,-4.167552815693900574e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.760795396678142333e-01,-5.331640259210262967e-03,-5.331616228490709819e-03,7.689620913683497226e-04,-4.099829244146013977e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.880120431612111509e-01,-5.357244895464067201e-03,-5.357222501046667723e-03,7.492595281122572167e-04,-4.013966782357205668e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.004602844010243468e-01,-5.367257821590105255e-03,-5.367237292260440204e-03,7.284563517547453871e-04,-3.909813051642650083e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.134465542186142262e-01,-5.360622304140510302e-03,-5.360603868677791400e-03,7.065481061510193832e-04,-3.787537536781391654e-06
