jt,driver_no_gluon,driver_with_gluon,cartesian_no_gluon,cartesian_with_gluon
1.197487437185929648e+00,8.675633263340981408e-11,2.313171013467040515e-10,5.842632015096365317e-13,1.557812163036363255e-12
1.204522613065326597e+00,7.580314726436179272e-11,2.021127883798647253e-10,5.075170006058647917e-13,1.353184924959730795e-12
1.211557788944723546e+00,6.617595645627634422e-11,1.764439547138785901e-10,4.404883308625451176e-13,1.174467393668195607e-12
1.218592964824120495e+00,5.772186109672940582e-11,1.539029277511283567e-10,3.819970188975441348e-13,1.018512890670919249e-12
1.225628140703517666e+00,5.030460014256673330e-11,1.341263967271755559e-10,3.309994652875577151e-13,8.825388825638461000e-13
1.232663316582914614e+00,4.380286531468661404e-11,1.167909192068756081e-10,2.865737213689174691e-13,7.640871915287483583e-13
1.239698492462311563e+00,3.810877120364648970e-11,1.016088419500286643e-10,2.479060851473531512e-13,6.609882562095696258e-13
1.246733668341708512e+00,3.312646826890404454e-11,8.832460277217324948e-11,2.142790753439659405e-13,5.713290670925641284e-13
1.253768844221105461e+00,2.877088701187092985e-11,7.671138215213820762e-11,1.850606540617465709e-13,4.934244310645647921e-13
1.260804020100502409e+00,2.496660237431582432e-11,6.656807539463059272e-11,1.596945792723244416e-13,4.257912483938945055e-13
1.267839195979899580e+00,2.164680815654322328e-11,5.771655813689234812e-11,1.376917783217656220e-13,3.671255120389698014e-13
1.274874371859296529e+00,1.875239196237715454e-11,4.999921988846091510e-11,1.186226429651815612e-13,3.162817640152746209e-13
1.281909547738693478e+00,1.623110185892942727e-11,4.327674210867677044e-11,1.021101550918348293e-13,2.722547666198795169e-13
1.288944723618090427e+00,1.403679658755533565e-11,3.742609905546201141e-11,8.782376032583511241e-14,2.341631677053681704e-13
1.295979899497487375e+00,1.212877177778468459e-11,3.233876127968590522e-11,7.547391411334577663e-14,2.012349589944056649e-13
1.303015075376884324e+00,1.047115519821937099e-11,2.791908319175315111e-11,6.480723176684295521e-14,1.727945447158876148e-13
1.310050251256281495e+00,9.032364627560110203e-12,2.408285759129821592e-11,5.560218026171664312e-14,1.482512547071885967e-13
1.317085427135678444e+00,7.784622445468419256e-12,2.075602142812097937e-11,4.766525540141707446e-14,1.270891516472435598e-13
1.324120603015075393e+00,6.703521527511124619e-12,1.787349835442390124e-11,4.082759331501235973e-14,1.088579963435868375e-13
1.331155778894472341e+00,5.767637481782592242e-12,1.537816483716568690e-11,3.494197015534577041e-14,9.316524807279592594e-14
1.338190954773869290e+00,4.958182687900956939e-12,1.321992772745425951e-11,2.988014835597405754e-14,7.966898894538653028e-14
1.345226130653266239e+00,4.258697993010576335e-12,1.135490223424759661e-11,2.553053190888647549e-14,6.807167220815524640e-14
1.352261306532663410e+00,3.654778285351916280e-12,9.744680225301671884e-12,2.179609686964407216e-14,5.811460438124190579e-14
1.359296482412060358e+00,3.133828505117284327e-12,8.355679682594641270e-12,1.859256670795836773e-14,4.957308022289468531e-14
1.366331658291457307e+00,2.684846965976183791e-12,7.158566975777597568e-12,1.584680522456253255e-14,4.225209778795993550e-14
1.373366834170854256e+00,2.298233150135632774e-12,6.127744389042469303e-12,1.349540257300234019e-14,3.598258835910706893e-14
1.380402010050251205e+00,1.965617406418419886e-12,5.240896047676384789e-12,1.148343247992723948e-14,3.061810284203297085e-14
1.387437185929648154e+00,1.679710225916816666e-12,4.478586044010196106e-12,9.763361070598735918e-15,2.603190238337059636e-14
1.394472361809045102e+00,1.434168994615498464e-12,3.823903161946451483e-12,8.294089797398553552e-15,2.211440654540377469e-14
1.401507537688442273e+00,1.223480328258485707e-12,3.262147148189608358e-12,7.040116856644151270e-15,1.877095740436889441e-14
1.408542713567839222e+00,1.042856282911949371e-12,2.780551980034858386e-12,5.970803180333223653e-15,1.591986247531264791e-14
1.415577889447236171e+00,8.881429063605482173e-13,2.368042037335305068e-12,5.059730620705769168e-15,1.349068344926900314e-14
1.422613065326633119e+00,7.557397518388758422e-13,2.015017503177916238e-12,4.284141321769814955e-15,1.142274139801293556e-14
1.429648241206030068e+00,6.425291177628945232e-13,1.713165696846563949e-12,3.624448507138046782e-15,9.663812395046948963e-15
1.436683417085427017e+00,5.458139061600121065e-13,1.455295386691285581e-12,3.063810020587009128e-15,8.168990453225407851e-15
1.443718592964824188e+00,4.632631094181518928e-13,1.235191442269429842e-12,2.587756946605555017e-15,6.899697321323571503e-15
1.450753768844221137e+00,3.928640407478822280e-13,1.047487467147235948e-12,2.183870523839585638e-15,5.822821043227704888e-15
1.457788944723618085e+00,3.328805192865070409e-13,8.875543084734704242e-13,1.841501354872482802e-15,4.909967291207164737e-15
