z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,2.536771619421803736e-01,2.591351203388467944e-03,2.591324637692532778e-03,6.849752386797676755e-04,1.775011409044118915e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.646414066113516039e-01,2.627257678822538141e-03,2.627232445933348585e-03,6.711147426878246499e-04,1.763191361097599174e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.760795396678142333e-01,2.657720282374943007e-03,2.657696598667902768e-03,6.563909682385805347e-04,1.744503589455402585e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.880120431612111509e-01,2.682157208674779830e-03,2.682135292869558020e-03,6.407827308399540985e-04,1.718680020716694166e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.004602844010243468e-01,2.700006120911346494e-03,2.699986189993853689e-03,6.242742465599160047e-04,1.685544286839092358e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.134465542186142262e-01,2.710739818198673948e-03,2.710722082639750122e-03,6.068562732581026875e-04,1.645029463844394193e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.269941068829917974e-01,2.713883877682932676e-03,2.713868535998325941e-03,5.885273331635654595e-04,1.597194841048332291e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.411272017418006119e-01,2.709035950029564828e-03,2.709023182777361462e-03,5.692949967155710002e-04,1.542240612274444996e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.558711466620742558e-01,2.695886193562380736e-03,2.695876156935840019e-03,5.491771990399761010e-04,1.480519228711131094e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.712523433485573343e-01,2.674238113783339310e-03,2.674230933026837311e-03,5.282035506501539307e-04,1.412542066984330157e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.872983346207417577e-01,2.644028842975796895e-03,2.644024605925388884e-03,5.064165931682845486e-04,1.338980078898484225e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.040378537332751097e-01,2.605347667565063169e-03,2.605346418686863095e-03,4.838729394786653727e-04,1.260657234268591751e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.215008758280593404e-01,2.558451414781426000e-03,2.558453150141581922e-03,4.606442264023698501e-04,1.178535872750038700e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.397186716101729176e-01,2.503775177946579965e-03,2.503779841584969929e-03,4.368177976491684927e-04,1.093693559039279923e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.587238633437344948e-01,2.441936829691579783e-03,2.441944311874135170e-03,4.124970266832086530e-04,1.007291681595997447e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.785504832679771670e-01,2.373733884428619583e-03,2.373744022206027929e-03,3.878011847521440941e-04,9.205368126677277579e-07
1.300000000000000044e-01,1.000000000000000000e+00,4.992340345381389710e-01,2.300131560629606071e-03,2.300144141020846102e-03,3.628647604383173101e-04,8.346366877244749171e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.208115548002949513e-01,2.222241382034597767e-03,2.222256147973008990e-03,3.378361455917928491e-04,7.507534630811473823e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.433216825139731698e-01,2.141290343823115498e-03,2.141307002749170962e-03,3.128756202388394570e-04,6.699575444350950795e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.668047261413169391e-01,2.058581520857272543e-03,2.058599755526079132e-03,2.881525975317272923e-04,5.931856124658367782e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.913027363266896153e-01,1.975447935614908865e-03,1.975467416330936588e-03,2.638421298212293136e-04,5.212063906835882792e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.168595811959725062e-01,1.893202416917544187e-03,1.893222814053802843e-03,2.401207281641993998e-04,4.545971429124629236e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.435210249103920921e-01,1.813086917713080870e-03,1.813107913069514311e-03,2.171616081168720744e-04,3.937328707062355317e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.713348096155424827e-01,1.736225160552035303e-03,1.736246455920288385e-03,1.951295406429401336e-04,3.387888180312336305e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.003507409323472821e-01,1.663582406058947138e-03,1.663603727348344358e-03,1.741755523663695139e-04,2.897553844822911431e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.306207771430480724e-01,1.595935522198138829e-03,1.595956617690730316e-03,1.544317761916241436e-04,2.464631573803657716e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.621991222319222103e-01,1.533855407460091910e-03,1.533876039226244638e-03,1.360067920590521742e-04,2.086147534510774662e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.951423229473382204e-01,1.477702357124630441e-03,1.477722285341279357e-03,1.189818086157397743e-04,1.758196990464303381e-07
1.300000000000000044e-01,1.000000000000000000e+00,8.295093700589535324e-01,1.427633446320342647e-03,1.427652407155799268e-03,1.034080116412422744e-04,1.476287360365208312e-07
1.300000000000000044e-01,1.000000000000000000e+00,8.653618039913759663e-01,1.383619787975391528e-03,1.383637466775828120e-03,8.930533949788852812e-05,1.235646349011388749e-07
1.300000000000000044e-01,1.000000000000000000e+00,9.027638250234443218e-01,1.345470923787394973e-03,1.345486926433981517e-03,7.666284062620833746e-05,1.031476229975103589e-07
1.300000000000000044e-01,1.000000000000000000e+00,9.417824082504592242e-01,1.312863785460579875e-03,1.312877611836480189e-03,6.544063126851665051e-05,8.591463489011475804e-08
