z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,1.526737100240096179e-01,-3.471326840898401964e-03,-3.471291059469137994e-03,7.064354932953293299e-04,-2.452268489239379716e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.592724589946988845e-01,-3.579925112294432294e-03,-3.579888762173776169e-03,7.012363230153094255e-04,-2.510373522415516264e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.661564141608184442e-01,-3.688302353163991614e-03,-3.688265518433557402e-03,6.956270787805663661e-04,-2.565682991590956338e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.733379024913548339e-01,-3.795932990226941368e-03,-3.795895768357228188e-03,6.895800305202846175e-04,-2.617599587253649546e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.808297837423337162e-01,-3.902229479589497136e-03,-3.902191982370056995e-03,6.830664082797795276e-04,-2.665481874906671092e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.886454734845430248e-01,-4.006540099713162481e-03,-4.006502454102587457e-03,6.760565282617533173e-04,-2.708647590153579611e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.967989671265430451e-01,-4.108147649654437378e-03,-4.108109998508124687e-03,6.685199591951170115e-04,-2.746378699114500218e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.053048649759813549e-01,-4.206269327788749596e-03,-4.206231830415041797e-03,6.604257352324565886e-04,-2.777928513390615702e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.141783983840887806e-01,-4.300058103171897073e-03,-4.300020935659115175e-03,6.517426219754412792e-04,-2.802531142807994842e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.234354570201737278e-01,-4.388605925557396634e-03,-4.388569280806905656e-03,6.424394425050531819e-04,-2.819413544189466934e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.330926173249537325e-01,-4.470949147464911913e-03,-4.470913234858264751e-03,6.324854703924420252e-04,-2.827810374635032454e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.431671721936762010e-01,-4.546076548150308587e-03,-4.546041592773368382e-03,6.218508965152737657e-04,-2.826981777094330738e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.536771619421803736e-01,-4.612940349337211338e-03,-4.612906590681076918e-03,6.105073760179582400e-04,-2.816234108401224564e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.646414066113516039e-01,-4.670470589510029684e-03,-4.670438279569128111e-03,5.984286608316624189e-04,-2.794943460334152185e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.760795396678142333e-01,-4.717593169857941908e-03,-4.717562570551235394e-03,5.855913216973216654e-04,-2.762581619567369299e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.880120431612111509e-01,-4.753251792378955856e-03,-4.753223172231891940e-03,5.719755614861712087e-04,-2.718743862831103207e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.004602844010243468e-01,-4.776433870938314591e-03,-4.776407500982869647e-03,5.575661186556989894e-04,-2.663177694434691751e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.134465542186142262e-01,-4.786200301839762389e-03,-4.786176450718905399e-03,5.423532557839702605e-04,-2.595811316537016094e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.269941068829917974e-01,-4.781718726534367296e-03,-4.781697654836661142e-03,5.263338231756642741e-04,-2.516780298687502005e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.411272017418006119e-01,-4.762299604245765622e-03,-4.762281558146030415e-03,5.095123814437013286e-04,-2.426450612507656461e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.558711466620742558e-01,-4.727434041452828993e-03,-4.727419245795700699e-03,4.919023597099322041e-04,-2.325435960363708118e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.712523433485573343e-01,-4.676831911836398271e-03,-4.676820562868863433e-03,4.735272176888887332e-04,-2.214607202810495775e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.872983346207417577e-01,-4.610458368990789750e-03,-4.610450627023982527e-03,4.544215705898197420e-04,-2.095091733175773354e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.040378537332751097e-01,-4.528566442486667461e-03,-4.528562424840293019e-03,4.346322258207056767e-04,-1.968260912674934854e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.215008758280593404e-01,-4.431723067240552795e-03,-4.431722841886343543e-03,4.142190704275758393e-04,-1.835704209304826804e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.397186716101729176e-01,-4.320825690920839998e-03,-4.320829271284167862e-03,3.932557388111559320e-04,-1.699189499357298290e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.587238633437344948e-01,-4.197106607383298965e-03,-4.197113948770580041e-03,3.718299825475466407e-04,-1.560610076573524798e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.785504832679771670e-01,-4.062122449738402377e-03,-4.062133447818597198e-03,3.500436593791669587e-04,-1.421920207152696561e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.992340345381389710e-01,-3.917726906802512267e-03,-3.917741398471286975e-03,3.280122581441662836e-04,-1.285062449492451652e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.208115548002949513e-01,-3.766025735268421337e-03,-3.766043502053176544e-03,3.058638822295334280e-04,-1.151891251965532498e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.433216825139731698e-01,-3.609314513301729865e-03,-3.609335287222966739e-03,2.837376277127068975e-04,-1.024098337673276070e-06
